Date,Sleep Perf %,Sleep (h),Sleep Needed (h),Sleep Debt (h),Sleep Eff %,Sleep Consistency %,Light (h),Deep (h),REM (h),Awake (h),In Bed (h),Sleep Cycles,Disturbances,Resp Rate,Bedtime,Wake,Nap (min),Recovery %,HRV (ms),RHR,SpO2 %,Skin Temp C,Strain,Avg HR,Max HR,Calories
2026-09-05,,,,,,,,,,,,,,,,,,,,,,,0.02,76,97,40
2026-09-06,82.0,6.24,8.38,,96.0,0.0,3.4,1.38,1.46,0.28,6.52,4,9,13.9,02:39,09:10,,45.0,50.2,65.0,95.0,33.6,6.48,77,153,2022
2026-09-07,73.0,5.36,8.9,1.07,95.0,0.0,2.83,1.34,1.19,0.3,5.67,2,7,13.9,01:31,07:11,,67.0,72.7,63.0,94.7,32.3,13.75,80,184,2533
2026-09-08,79.0,6.79,10.0,1.77,95.0,73.0,3.88,1.48,1.43,0.38,7.17,3,9,13.5,00:50,08:00,,66.0,66.4,64.0,93.3,32.4,7.04,80,135,2106
2026-09-09,74.0,6.35,9.91,2.06,95.0,75.0,3.48,1.44,1.43,0.41,6.77,3,4,13.7,00:06,06:52,,41.0,47.6,69.0,93.6,32.6,12.03,83,166,2522
2026-09-10,72.0,6.88,9.86,1.78,93.0,81.0,3.0,2.05,1.83,0.48,7.37,4,5,13.4,00:32,07:54,,28.0,36.0,75.0,92.5,32.8,6.43,82,144,2146
2026-09-11,79.0,6.98,9.56,1.75,94.0,87.0,3.21,1.94,1.83,0.43,7.41,4,12,14.0,23:52,07:17,,23.0,30.8,74.0,92.8,32.5,5.63,82,125,2067
2026-09-13,49.0,3.86,10.59,1.66,92.0,52.0,1.02,1.53,1.31,0.33,4.19,2,2,13.3,03:13,07:25,150,41.0,54.8,61.0,93.4,32.3,4.24,79,129,1899
2026-09-14,74.0,5.46,12.43,2.13,91.0,42.0,2.18,1.52,1.76,0.54,6.0,5,6,13.8,02:32,08:32,,58.0,49.0,67.0,95.5,32.4,6.99,81,149,1998
2026-09-15,60.0,4.89,9.11,1.26,94.0,48.0,2.9,1.18,0.81,0.36,5.25,3,8,13.5,00:44,05:59,,49.0,49.9,69.0,93.9,32.7,12.15,81,178,2441
2026-09-16,27.0,2.51,10.2,2.11,94.0,58.0,1.55,0.74,0.22,0.17,2.68,1,7,14.8,01:29,04:10,189,8.0,41.8,76.0,,32.6,4.07,71,128,991
